#jd flux err
2454410.39599653 1.00528361 0.00274380
2454410.41682986 1.00955086 0.00154349
2454410.45849653 1.00753543 0.00106019
2454410.47932986 1.00699955 0.00145318
2454410.54182987 0.99570906 0.00309958
2454410.56266320 0.98908728 0.00315806
2454410.77099654 0.98303150 0.00245263
2454410.79182987 0.99102074 0.00215921
2454410.87516321 1.00608336 0.00106211
2454410.89599654 1.01433768 0.00627256
2454410.95849654 1.01501022 0.00142247
2454411.00016321 1.01264570 0.00474339
2454411.10432988 0.94742724 0.00817120
2454411.14599655 0.92963701 0.00749767
2454411.22932989 1.00247880 0.00308932
2454411.27099655 1.00465908 0.00179693
2454411.31266322 1.01064914 0.00075406
2454411.33349656 1.00831841 0.00040354
2454411.35432989 1.01226570 0.00440385
2454411.39599656 1.00408851 0.00317345
2454411.41682989 1.00475822 0.00573629
2454411.47932989 0.98716749 0.00096640
2454411.68766323 0.98688481 0.00361126
2454411.70849657 0.98912089 0.00476292
2454411.72932990 0.99506627 0.00294081
2454411.77099657 1.00330642 0.00347929
2454411.79182990 1.00988370 0.00372741
2454411.87516324 1.01497752 0.00047083
2454411.95849657 1.00602574 0.00384235
2454412.02099658 0.94574382 0.00933121
2454412.08349658 0.96179454 0.00991441
2454412.16682991 1.00060347 0.00402427
2454412.22932992 1.00884181 0.00388780
2454412.25016325 1.00645626 0.00299951
2454412.27099658 1.00752054 0.00291815
2454412.33349659 0.99908767 0.00253235
2454412.39599659 0.98631507 0.00171635
2454412.41682992 0.98121853 0.00438863
2454412.50016326 0.42405347 0.02137252
2454412.62516326 0.98980420 0.00204117
2454412.68766326 1.00558183 0.00276182
2454412.70849660 1.01035561 0.00213230
2454412.72932993 1.01195277 0.00225784
2454412.77099660 1.01605687 0.00504224
2454412.81266327 1.00900972 0.00229858
2454412.87516327 1.00331168 0.00502925
2454412.93766327 0.93074425 0.00618235
2454413.02099661 0.99067315 0.00329539
2454413.14599661 1.00596668 0.00229810
2454413.18766328 1.00735427 0.00095076
2454413.22932995 0.99974416 0.00221859
2454413.27099661 0.99060992 0.00131596
2454413.31266328 0.98239098 0.00282167
2454413.50016329 0.98280124 0.00264440
2454413.62516329 1.01137311 0.00125130
2454413.68766329 1.01488831 0.00269837
2454413.70849663 1.01217145 0.00212285
2454413.75016329 1.00967530 0.00254399
2454413.77099663 1.00989591 0.00393081
2454413.79182996 0.99764516 0.01026774
2454413.83349663 0.94896566 0.00711345
2454413.87516330 0.93554756 0.00925919
2454413.95849663 1.00195114 0.00102530
2454414.02099664 1.00686559 0.00080503
2454414.04182997 1.00721642 0.00068856
2454414.10432997 1.00498869 0.00412281
2454414.18766331 0.99053093 0.00147679
2454414.31266331 0.42884085 0.01492736
2454414.41682998 0.98754119 0.00530513
2454414.47932998 1.00359596 0.00700588
2454414.50016332 1.00668518 0.00213789
2454414.56266332 1.01533787 0.00294573
2454414.62516332 1.01142706 0.00154827
2454414.64599665 1.00983879 0.00385519
2454414.68766332 1.00436285 0.00257384
2454414.70849666 0.98786022 0.00912616
2454414.75016332 0.93321407 0.01028925
2454414.77099666 0.92625525 0.00493882
2454414.79182999 0.93804370 0.01079375
2454414.83349666 0.98755620 0.00732911
2454414.87516333 1.00286353 0.00122496
2454414.95849666 1.00815167 0.00278732
2454415.02099667 1.00526994 0.00246278
2454415.04183000 1.00163276 0.00151208
2454415.31266334 0.98350594 0.00259083
2454415.33349667 0.98909001 0.00422211
2454415.35433001 0.99291010 0.00269602
2454415.39599668 1.00357244 0.00319011
2454415.47933001 1.01508191 0.00463045
2454415.50016335 1.01832694 0.00222717
2454415.56266335 1.00953599 0.00126237
2454415.64599668 0.95057817 0.00624123
2454415.68766335 0.93170623 0.00329683
2454415.70849669 0.95100230 0.00716440
2454415.77099669 0.99998978 0.00261311
2454415.81266336 1.00486834 0.00183286
2454415.83349669 1.00551320 0.00127892
2454415.89599669 1.00643718 0.00046849
2454415.93766336 1.00785031 0.00735828
2454415.97933003 0.99588777 0.00278393
2454416.02099670 0.98778671 0.00274665
2454416.25016337 0.99189914 0.00132955
2454416.27099670 0.99515350 0.00261628
2454416.29183004 0.99795077 0.00452771
2454416.31266337 1.00666737 0.00369967
2454416.33349670 1.01208268 0.00087402
2454416.35433004 1.01415533 0.00273924
2454416.41683004 1.01356418 0.00223085
2454416.47933004 1.00727472 0.00191007
2454416.50016338 1.00532992 0.00374742
2454416.56266338 0.93774764 0.00688359
2454416.62516338 0.96139449 0.00984584
2454416.64599671 0.98378552 0.00761830
2454416.68766338 1.00442903 0.00159432
2454416.70849672 1.00178690 0.00181535
2454416.72933005 1.00544190 0.00215526
2454416.77099672 1.00991703 0.00367938
2454416.81266339 1.01124647 0.00276608
2454416.83349672 1.00462575 0.00165981
2454416.89599672 0.99486661 0.00533175
2454416.93766339 0.98562468 0.00068076
2454417.18766340 0.99810502 0.00423959
2454417.20849673 1.00244823 0.00292168
2454417.27099673 1.01427187 0.00243840
2454417.29183007 1.01588278 0.00080165
2454417.31266340 1.01576900 0.00214357
2454417.35433007 1.01157763 0.00191494
2454417.41683007 1.00188732 0.00732408
2454417.47933007 0.92700903 0.00384252
2454417.50016341 0.92996447 0.00458928
2454417.56266341 0.99608855 0.00737168
2454417.62516341 1.00297324 0.00297640
2454417.64599674 1.00630235 0.00322758
2454417.70849675 1.00940225 0.00214847
2454417.77099675 1.00023549 0.00107078
2454417.79183008 0.99657968 0.00337027
2454417.83349675 0.98595795 0.00201276
2454417.93766342 0.43426269 0.02632061
2454418.10433009 1.00026257 0.00147467
2454418.18766343 1.01557299 0.00068921
2454418.20849676 1.01628061 0.00341180
2454418.22933009 1.01305758 0.00174416
2454418.27099676 1.00995955 0.00342192
2454418.29183010 1.00827788 0.00135487
2454418.31266343 1.00731931 0.00293680
2454418.41683010 0.93500223 0.00510792
2454418.43766343 0.95476186 0.00782119
2454418.47933010 1.00061408 0.00129842
2454418.50016344 1.00169049 0.00250007
2454418.56266344 1.00512600 0.00269642
2454418.62516344 1.00882266 0.00358495
2454418.64599677 1.00486038 0.00139001
2454418.68766344 0.99905201 0.00203839
2454418.70849678 0.99246824 0.00120443
2454418.75016344 0.98530348 0.00325818
2454418.77099678 0.97382992 0.01329653
2454418.83349678 0.47275375 0.04672011
2454418.95849678 0.98887222 0.00128334
2454419.04183012 1.01097293 0.00176842
2454419.10433012 1.01404858 0.00204402
2454419.12516345 1.01469832 0.00417591
2454419.16683012 1.01299278 0.00340285
2454419.25016346 0.98997134 0.00250588
2454419.29183013 0.93372374 0.00654195
2454419.33349679 0.94641791 0.00949165
2454419.41683013 1.00379153 0.00057607
2454419.43766346 1.00447848 0.00250764
2454419.47933013 1.00835582 0.00393500
2454419.50016347 1.00671296 0.00146745
2454419.56266347 1.00430596 0.00192961
2454419.62516347 0.99040782 0.00145456
2454419.64599680 0.98658126 0.00284921
2454419.81266348 0.85251099 0.07881924
2454419.89599681 0.99461242 0.00255772
2454419.97933015 1.01336507 0.00202764
2454420.02099681 1.01537483 0.00394390
2454420.04183015 1.01346515 0.00214466
2454420.10433015 1.00984068 0.00252414
2454420.12516348 1.00586024 0.00422046
2454420.16683015 0.96945929 0.01395749
2454420.20849682 0.92439226 0.00516813
2454420.25016349 0.95407158 0.00510796
2454420.29183016 0.99766852 0.00401048
2454420.33349682 1.00141021 0.00053777
2454420.35433016 1.00470164 0.00157885
2454420.41683016 1.00733071 0.00138054
2454420.43766349 1.00609449 0.00207449
2454420.50016350 1.00141935 0.00561025
2454420.56266350 0.98443512 0.00122884
2454420.58349683 0.97630309 0.01307921
2454420.77099684 0.98558628 0.00370076
2454420.79183017 0.98933987 0.00420346
2454420.81266350 0.99650631 0.00268118
2454420.89599684 1.01154016 0.00087129
2454420.97933018 1.01029566 0.00180641
2454421.02099684 1.00717767 0.00284452
2454421.10433018 0.93165282 0.00407689
2454421.20849685 1.00116931 0.00182613
2454421.22933018 1.00125212 0.00114327
2454421.25016352 1.00413432 0.00152691
2454421.27099685 1.00452430 0.00073561
2454421.29183019 1.00768309 0.00128850
2454421.35433019 1.00812566 0.00587753
2454421.37516352 1.00217705 0.00210902
2454421.41683019 0.99836382 0.00328237
2454421.43766352 0.99248319 0.00084007
2454421.50016353 0.96545884 0.01717516
2454421.56266353 0.45102494 0.03879112
2454421.70849686 0.99348444 0.00240221
2454421.72933020 1.00021805 0.00294457
2454421.75016353 1.00544423 0.00197651
2454421.79183020 1.00955150 0.00126783
2454421.83349687 1.01488978 0.00051615
2454421.87516354 1.01334825 0.00197771
2454421.89599687 1.01319971 0.00372937
2454421.95849687 0.99764954 0.00582974
2454422.04183021 0.92730338 0.00464884
2454422.10433021 1.00008809 0.00239198
2454422.18766355 1.00757307 0.00424436
2454422.20849688 1.00673308 0.00264023
2454422.22933021 1.00785854 0.00245274
2454422.27099688 1.00480326 0.00054397
2454422.29183022 1.00567052 0.00357260
2454422.35433022 0.99148982 0.00369038
2454422.37516355 0.98672044 0.00213750
2454422.58349689 0.98742796 0.00378136
2454422.64599689 1.00058227 0.00168107
2454422.70849689 1.01198261 0.00119717
2454422.72933023 1.01425217 0.00170626
2454422.75016356 1.01527957 0.00062679
2454422.79183023 1.01266997 0.00149308
2454422.83349690 1.00753407 0.00275401
2454422.95849690 0.94007029 0.01126309
2454423.04183024 1.00143756 0.00309219
2454423.06266357 1.00216738 0.00209981
2454423.12516357 1.00666433 0.00163304
2454423.16683024 1.00723425 0.00182394
2454423.20849691 0.99992914 0.00228387
2454423.25016358 0.99347886 0.00215214
2454423.29183025 0.98349267 0.00201343
2454423.37516358 0.48927141 0.06374602
2454423.50016358 0.98749302 0.00183846
2454423.52099692 0.99243609 0.00388200
2454423.56266359 1.00315735 0.00363773
2454423.58349692 1.00627959 0.00171979
2454423.64599692 1.01419269 0.00212625
2454423.70849692 1.00936389 0.00063685
2454423.72933026 1.00953487 0.00293884
2454423.77099693 0.99604983 0.01005092
2454423.79183026 0.97328147 0.01271463
2454423.81266359 0.95062707 0.01064010
2454423.85433026 0.92221128 0.00517842
2454423.89599693 0.97594877 0.00898535
2454423.97933027 1.00416947 0.00038193
2454424.02099693 1.00443237 0.00238691
2454424.06266360 1.00480469 0.00170915
2454424.12516360 0.99916877 0.00571201
2454424.16683027 0.99948502 0.00735310
2454424.20849694 0.97830696 0.00516318
2454424.29183028 0.42763390 0.02676328
2454424.41683028 0.98689655 0.00352439
2454424.43766361 0.99414742 0.00322028
2454424.50016361 1.00818876 0.00169576
2454424.52099695 1.00974775 0.00275900
2454424.58349695 1.01177827 0.00185544
2454424.64599695 1.00577117 0.00208742
2454424.70849695 0.96103929 0.00685840
2454424.72933029 0.93592067 0.01030052
2454424.77099696 0.93522797 0.00852863
2454424.79183029 0.95845001 0.00946852
2454424.85433029 1.00093511 0.00180895
2454424.89599696 1.00342995 0.00302180
2454424.97933030 1.00385338 0.00134693
2454425.35433031 1.00069651 0.00168019
2454425.37516364 1.00070463 0.00201539
2454425.41683031 1.01397219 0.00263071
2454425.43766364 1.01421783 0.00149801
2454425.50016364 1.01282452 0.00237872
2454425.52099698 1.01149140 0.00221905
2454425.58349698 1.00096009 0.00490964
2454425.64599698 0.92870415 0.00570354
2454425.66683032 0.92672743 0.00604085
2454425.68766365 0.95054188 0.00425104
2454425.70849698 0.97369497 0.00664893
2454425.72933032 0.99429881 0.00566965
2454425.75016365 1.00197499 0.00229365
2454425.81266365 1.01306973 0.00991820
2454425.85433032 1.00840304 0.00156546
2454425.91683032 1.00434135 0.00280511
2454425.95849699 0.99706062 0.00332094
2454426.22933033 0.98925498 0.00363908
2454426.25016367 0.99490785 0.00219938
2454426.29183033 1.00447559 0.00172617
2454426.31266367 1.00703284 0.00171986
2454426.35433034 1.01254098 0.00069218
2454426.37516367 1.01410101 0.00156083
2454426.43766367 1.01234175 0.00174208
2454426.45849701 1.00832087 0.00123495
2454426.50016367 0.99107360 0.00356355
2454426.52099701 0.97301051 0.00835669
2454426.58349701 0.93115539 0.00635533
2454426.64599701 0.99890459 0.00382337
2454426.66683035 0.99952098 0.00117785
2454426.68766368 1.00229235 0.00499492
2454426.72933035 1.00676081 0.00129552
2454426.77099702 1.00858891 0.00114053
2454427.10433036 0.97749888 0.00894425
2454427.12516369 0.98849447 0.00606161
2454427.14599703 0.99624545 0.00517656
2454427.16683036 1.00530609 0.00836911
2454427.18766369 1.00681612 0.00437919
2454427.20849703 1.01242930 0.00484782
2454427.22933036 1.01604825 0.00482670
2454427.25016370 1.02048526 0.00580793
2454427.27099703 1.01952646 0.00443595
2454427.29183036 1.01936271 0.00543235
2454427.31266370 1.02158492 0.00930467
2454427.33349703 1.01601148 0.00597985
2454427.35433037 1.01493482 0.00473045
2454427.37516370 1.01286215 0.00476486
2454427.39599703 1.01074245 0.00481738
2454427.41683037 0.99280935 0.00885731
2454427.43766370 0.96762674 0.00838996
2454427.45849704 0.94165585 0.00885991
2454427.47933037 0.93033338 0.00595822
2454427.50016370 0.94577208 0.00634788
2454427.52099704 0.97204094 0.00956376
2454427.54183037 0.98766433 0.00815675
2454427.56266371 1.00620523 0.00628679
2454427.58349704 1.00707482 0.00468721
2454427.60433037 1.00825220 0.00523810
2454427.62516371 1.01183678 0.00489514
2454427.64599704 1.01227410 0.00535561
2454427.66683038 1.01370338 0.00488546
2454427.68766371 1.01407472 0.00479957
2454427.70849704 1.01314141 0.00438617
2454427.72933038 1.01219761 0.00540700
2454427.75016371 1.00839848 0.00570576
2454427.77099705 1.00420647 0.00420648
2454427.79183038 0.99828197 0.00471119
2454427.81266371 0.99376194 0.00447705
2454427.83349705 0.99110659 0.00498277
2454427.85433038 0.96776984 0.02022230
2454427.87516372 0.84783019 0.05581918
2454427.89599705 0.67139096 0.05896943
2454427.91683038 0.47810400 0.04526409
2454427.93766372 0.42179499 0.01366731
2454427.95849705 0.62672730 0.05705988
2454427.97933039 0.81206137 0.05151067
2454428.00016372 0.94781183 0.02716847
2454428.02099705 0.98845428 0.00583675
2454428.04183039 0.99199854 0.00495271
2454428.06266372 0.99672397 0.00553522
2454428.08349705 1.00020796 0.00696165
2454428.10433039 1.00682819 0.00537920
2454428.12516372 1.01342192 0.00491830
2454428.14599706 1.01447492 0.00548997
2454428.16683039 1.01813552 0.00498911
2454428.18766372 1.01784147 0.00535867
2454428.20849706 1.01807917 0.00450396
2454428.22933039 1.01686882 0.00511775
2454428.25016373 1.01467780 0.00482476
2454428.27099706 1.01227668 0.00505124
2454428.29183039 1.01000341 0.00515373
2454428.31266373 1.00504571 0.00563389
2454428.33349706 0.98031458 0.00892671
2454428.35433040 0.95364809 0.00895264
2454428.37516373 0.93161349 0.00561065
2454428.39599706 0.93201959 0.00431190
2454428.41683040 0.95326729 0.00678853
2454428.43766373 0.98004892 0.00731806
2454428.45849707 1.00075754 0.00700563
2454428.47933040 1.00529801 0.00384326
2454428.50016373 1.00679941 0.00542195
2454428.52099707 1.00870462 0.00437499
2454428.54183040 1.00962907 0.00431538
2454428.56266374 1.01134050 0.00583955
2454428.58349707 1.01131426 0.00509580
2454428.60433040 1.01124166 0.00497372
2454428.62516374 1.01005000 0.00534604
2454428.64599707 1.00785697 0.00603827
2454428.66683041 1.00403895 0.00455257
2454428.68766374 0.99977651 0.00501804
2454428.70849707 0.99485542 0.00533816
2454428.72933041 0.99084823 0.00451338
2454428.75016374 0.98555847 0.00557912
2454428.77099708 0.93000761 0.03394453
2454428.79183041 0.77705431 0.05669424
2454428.81266374 0.56036794 0.05096613
2454428.83349708 0.43056646 0.01973298
2454428.85433041 0.50296214 0.05257783
2454428.87516375 0.69916083 0.07547971
2454428.89599708 0.87814714 0.04755529
2454428.91683041 0.97490243 0.01370199
2454428.93766375 0.98677414 0.00530524
2454428.95849708 0.99408245 0.00717130
2454428.97933041 0.99946570 0.00599895
2454429.00016375 1.00345837 0.00526414
2454429.02099708 1.00686237 0.00463775
2454429.04183042 1.01216098 0.00476161
2454429.06266375 1.01502442 0.00457647
2454429.08349708 1.01663513 0.00516159
2454429.10433042 1.01782643 0.00470841
2454429.12516375 1.01765522 0.00586281
2454429.14599709 1.01561208 0.00537081
2454429.16683042 1.01386178 0.00458195
2454429.18766375 1.01250204 0.00435133
2454429.20849709 1.00984557 0.00457191
2454429.22933042 0.99385435 0.00708143
2454429.25016376 0.96770857 0.00836309
2454429.27099709 0.94238255 0.00679999
2454429.29183042 0.92682209 0.00551983
2454429.31266376 0.94255656 0.00816216
2454429.33349709 0.96614650 0.00943462
2454429.35433043 0.99364682 0.00864454
2454429.37516376 1.00405575 0.00513813
2454429.39599709 1.00739420 0.00555810
2454429.41683043 1.00932450 0.00532538
2454429.43766376 1.01011438 0.00490922
2454429.45849710 1.01083456 0.00414709
2454429.47933043 1.01495492 0.00430604
2454429.50016376 1.01254387 0.00554765
2454429.52099710 1.01208953 0.00551438
2454429.54183043 1.00977872 0.00438277
2454429.56266377 1.00676531 0.00622102
2454429.58349710 1.00260464 0.00466819
2454429.60433043 0.99912144 0.00501143
2454429.62516377 0.99404118 0.00548171
2454429.64599710 0.98835196 0.00550961
2454429.66683044 0.97754755 0.01246534
2454429.68766377 0.82840898 0.02357246
2454429.70849710 0.69663010 0.06224664
2454429.72933044 0.49649064 0.05196039
2454429.75016377 0.43241869 0.02225377
2454429.77099711 0.59185685 0.05965479
2454429.79183044 0.79005674 0.05421593
2454429.81266377 0.87938131 0.00859330
2454429.83349711 0.98726057 0.00606161
2454429.85433044 0.99143708 0.00600452
2454429.87516377 0.99774833 0.00677129
2454429.89599711 1.00317575 0.00519792
2454429.91683044 1.00763872 0.00496264
2454429.93766378 1.01136074 0.00481624
2454429.95849711 1.01588992 0.00546554
2454429.97933044 1.01797514 0.00571857
2454430.00016378 1.01560174 0.00566596
2454430.02099711 1.01817775 0.00482071
2454430.04183045 1.01474119 0.00397567
2454430.06266378 1.01345851 0.00568473
2454430.08349711 1.01144337 0.00451571
2454430.10433045 1.00931968 0.00553893
2454430.12516378 1.00506045 0.00558014
2454430.14599712 0.98243219 0.00846002
2454430.16683045 0.95473385 0.00893411
2454430.18766378 0.93333736 0.00558870
2454430.20849712 0.92887780 0.00687037
